sku,product_name,price,category_name,url
GEN-59F3ACBD,Smart Air Purifier,57650.0,Smart Home Corner,https://lifestore.lk/product/smart-air-purifier
GEN-3240A88D,Alexa Echo Show 5 Smart Display,59880.0,Smart Home Corner,https://lifestore.lk/product/alexa-echo-show-5-smart-display
GEN-DC1892B3,Alexa Echo Dot Smart Speaker,46305.0,Smart Home Corner,https://lifestore.lk/product/alexa-echo-dot-smart-speaker
GEN-2A6D855D,Prolink Smart Wi Fi Led Bulb 12W E27,5285.0,Smart Home Corner,https://lifestore.lk/product/prolink-smart-wi-fi-led-bulb-12w-e27
GEN-685E13D6,Alexa Echo Show 8 Hd Smart Display,73560.0,Smart Home Corner,https://lifestore.lk/product/alexa-echo-show-8-hd-smart-display
GEN-70CA6DC2,Prolink Smart Led Light Strip 2M,9935.0,Smart Home Corner,https://lifestore.lk/product/prolink-smart-led-light-strip-2m
GEN-38E41F48,Prolink Smart Remote Control,4660.0,Smart Home Corner,https://lifestore.lk/product/prolink-smart-remote-control
GEN-0CF359BC,Smart Air Purifier Tedi Color Camera,77205.0,Smart Home Corner,https://lifestore.lk/product/smart-air-purifier-tedi-color-camera
GEN-9FDCAD2C,Smart Ac Controller,9505.0,Smart Home Corner,https://lifestore.lk/product/smart-ac-controller
GEN-E1B6E818,Prolink Smart Wi Fi Led Bulb 9W E27,4355.0,Smart Home Corner,https://lifestore.lk/product/prolink-smart-wi-fi-led-bulb-9w-e27
GEN-BDD46218,Prolink Smart Led Light Strip 5M,15905.0,Smart Home Corner,https://lifestore.lk/product/prolink-smart-led-light-strip-5m
GEN-85827A57,Prolink Wi Fi Smart Plug Uk 3 Pin,6450.0,Smart Home Corner,https://lifestore.lk/product/prolink-wi-fi-smart-plug-uk-3-pin
GEN-394B18A2,Emark Hcd 211N Cli Phone,4895.0,Telephones,https://lifestore.lk/product/emark-hcd-211n-cli-phone
GEN-8F56C636,Alcatel T28 Basic Telephone,5595.0,Telephones,https://lifestore.lk/product/alcatel-t28-basic-telephone
GEN-C81507DF,Emark W159 Cordless Phone,11895.0,Telephones,https://lifestore.lk/product/emark-w159-cordless-phone
GEN-9B995EB2,Prolink Hcd130C Cli Telephone,6990.0,Telephones,https://lifestore.lk/product/prolink-hcd130c-cli-telephone
GEN-2F2D06FB,Basic Pstn Phone D Top Dt100,3360.0,Telephones,https://lifestore.lk/product/basic-pstn-phone-d-top-dt100
GEN-4D7E2AD5,Alcatel S280 Cordless Phone,13450.0,Telephones,https://lifestore.lk/product/alcatel-s280-cordless-phone
